regionCode,regionName,areaCode,areaName,areaType,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage
E12000007,London,E02000001,City of London,msoa,10918,7342,67.2
E12000007,London,E02000002,Marks Gate,msoa,6950,4669,67.2
E12000007,London,E02000003,Chadwell Heath East,msoa,10439,6954,66.6
E12000007,London,E02000004,Eastbrookend,msoa,5993,4488,74.9
E12000007,London,E02000005,Becontree Heath,msoa,9753,6538,67
E12000007,London,E02000007,Central Park & Frizlands Lane,msoa,8981,5844,65.1
E12000007,London,E02000008,Becontree East,msoa,11992,7933,66.2
E12000007,London,E02000009,Becontree West,msoa,11705,7238,61.8
E12000007,London,E02000010,Dagenham North,msoa,8854,5831,65.9
E12000007,London,E02000011,Dagenham Eastbrook,msoa,6578,4438,67.5
E12000007,London,E02000012,Longbridge & Barking Park,msoa,10370,7235,69.8
E12000007,London,E02000013,Becontree South,msoa,8507,5488,64.5
E12000007,London,E02000014,Dagenham Central,msoa,9464,6080,64.2
E12000007,London,E02000015,Old Dagenham Park & Village,msoa,7575,4865,64.2
E12000007,London,E02000016,Barking Central,msoa,10769,6125,56.9
E12000007,London,E02000017,Barking East,msoa,10189,5901,57.9
E12000007,London,E02000018,Mayesbrook Park & Rippleside,msoa,8918,5613,62.9
E12000007,London,E02000019,Goresbrook & Scrattons Farm,msoa,8683,5541,63.8
E12000007,London,E02000020,Creekmouth & Barking Riverside,msoa,13022,8227,63.2
E12000007,London,E02000021,Rylands Estate & Dagenham Dock,msoa,8068,4968,61.6
E12000007,London,E02000022,Gascoigne Estate & Roding Riverside,msoa,7405,4423,59.7
E12000007,London,E02000023,Thames View,msoa,7305,4566,62.5
E12000007,London,E02000024,High Barnet & Hadley,msoa,10057,8392,83.4
E12000007,London,E02000025,Hadley Wood,msoa,7354,5860,79.7
E12000007,London,E02000026,Oak Hill,msoa,6027,4781,79.3
E12000007,London,E02000027,Ducks Island & Underhill,msoa,8794,6887,78.3
E12000007,London,E02000028,New Barnet West,msoa,6009,4751,79.1
E12000007,London,E02000029,New Barnet Town & East Barnet,msoa,8339,6244,74.9
E12000007,London,E02000030,Totteridge & Barnet Gate,msoa,9039,7423,82.1
E12000007,London,E02000031,Oakleigh Park,msoa,8246,6548,79.4
E12000007,London,E02000032,Osidge,msoa,7702,6023,78.2
E12000007,London,E02000033,Brunswick Park Road,msoa,8088,6073,75.1
E12000007,London,E02000034,Whetstone East,msoa,8812,6632,75.3
E12000007,London,E02000035,Woodside Park,msoa,8733,6527,74.7
E12000007,London,E02000036,Edgware East,msoa,11018,8056,73.1
E12000007,London,E02000037,Edgware Park,msoa,10029,7707,76.8
E12000007,London,E02000038,Friern Barnet,msoa,10215,7579,74.2
E12000007,London,E02000039,Mill Hill Park,msoa,7082,5590,78.9
E12000007,London,E02000040,Mill Hill East,msoa,8973,6747,75.2
E12000007,London,E02000041,Edgware Central,msoa,10081,6727,66.7
E12000007,London,E02000042,North Finchley,msoa,11291,8264,73.2
E12000007,London,E02000043,West Finchley,msoa,7683,5813,75.7
E12000007,London,E02000044,Mill Hill Broadway,msoa,8974,5995,66.8
E12000007,London,E02000045,Colney Hatch,msoa,10029,7069,70.5
E12000007,London,E02000046,Church End,msoa,7312,5206,71.2
