NAME,county,year,y,n,E
Adams,1,1,6,17952,5.603452141
Allen,2,1,32,111028,34.24378974
Ashland,3,1,15,43504,13.39621802
Ashtabula,4,1,27,95077,29.30585959
Athens,5,1,12,54180,17.03057332
Auglaize,6,1,7,37893,11.63554321
Belmont,7,1,25,77856,23.77758848
Brown,8,1,10,25300,7.833123681
Butler,9,1,49,222616,68.66400816
Carroll,10,1,3,20961,6.52395855
Champaign,11,1,8,29910,9.168385534
Clark,12,1,42,153501,46.92107356
Clermont,13,1,23,91596,28.47877081
Clinton,14,1,4,31214,9.659543319
Columbiana,15,1,45,106723,32.72312323
Coshocton,16,1,7,32900,10.04788619
Crawford,17,1,14,48650,14.90255063
Cuyahoga,18,1,633,1744859,530.6188591
Darke,19,1,10,47749,14.66161467
Defiance,20,1,4,36756,11.39306816
Delaware,21,1,11,41964,12.84544152
Erie,22,1,22,74091,22.87929079
Fairfield,23,1,20,70676,21.9091134
Fayette,24,1,6,24888,7.614057758
Franklin,25,1,246,813246,249.0522752
Fulton,26,1,5,31976,9.836474722
Gallia,27,1,3,24102,7.459988359
Geauga,28,1,7,62514,19.41032504
Greene,29,1,21,122930,38.65810031
Guernsey,30,1,11,35664,10.86415613
Hamilton,31,1,376,933253,282.686192
Hancock,32,1,17,60162,18.41043823
Hardin,33,1,7,30794,9.608810815
Harrison,34,1,6,16778,5.187199156
Henry,35,1,5,26557,8.224430684
Highland,36,1,9,28007,8.607155955
Hocking,37,1,11,19712,6.088170666
Holmes,38,1,3,21974,6.777068522
Huron,39,1,11,48486,14.87130544
Jackson,40,1,15,27442,8.363945901
Jefferson,41,1,35,95132,29.2976327
Knox,42,1,12,41702,12.86472518
Lake,43,1,50,196022,60.7274056
Lawrence,44,1,22,54932,16.89212714
Licking,45,1,29,105189,32.44332166
Logan,46,1,17,34195,10.50451354
Lorain,47,1,66,254095,78.60915302
Lucas,48,1,175,480010,146.741431
Madison,49,1,7,27669,8.881304478
Mahoning,50,1,108,302985,92.9788828
Marion,51,1,26,62708,19.53590106
Medina,52,1,15,80291,24.91254369
Meigs,53,1,11,19652,6.063688478
Mercer,54,1,3,35530,10.98572366
Miami,55,1,18,82795,25.40142413
Monroe,56,1,4,15799,4.923708527
Montgomery,57,1,172,616195,189.0784639
Morgan,58,1,1,11380,3.48472398
Morrow,59,1,4,19616,6.116102911
Muskingum,60,1,28,76690,23.27321458
Noble,61,1,4,10547,3.299677499
Ottawa,62,1,10,36414,11.23288355
Paulding,63,1,6,18765,5.813972543
Perry,64,1,10,26807,8.268933772
Pickaway,65,1,12,38371,11.96020054
Pike,66,1,4,19284,6.009374687
Portage,67,1,14,122135,37.98953836
Preble,68,1,5,33389,10.32240581
Putnam,69,1,5,30472,9.529872309
Richland,70,1,36,131020,40.76832985
Ross,71,1,18,61689,19.60795431
Sandusky,72,1,16,61061,18.74033874
Scioto,73,1,30,76218,23.15675388
Seneca,74,1,17,60815,18.63085329
Shelby,75,1,10,37966,11.76209982
Stark,76,1,114,369341,113.1474088
Summit,77,1,176,558916,171.3718628
Trumbull,78,1,56,229248,70.55456893
Tuscarawas,79,1,28,75772,23.27924344
Union,80,1,8,22114,6.741884334
Van Wert,81,1,7,29417,8.982422608
Vinton,82,1,4,9471,2.99402465
Warren,83,1,19,84068,26.55576962
Washington,84,1,8,56029,17.25523386
Wayne,85,1,16,85563,26.44301765
Williams,86,1,5,33512,10.29175828
Wood,87,1,12,86389,26.62923182
Wyandot,88,1,5,21038,6.436720348
Adams,1,2,5,18472,5.862734857
Allen,2,2,33,110973,34.82807472
Ashland,3,2,19,43382,13.60024166
Ashtabula,4,2,24,96738,30.35654157
Athens,5,2,9,55036,17.61759593
Auglaize,6,2,10,38211,11.94806358
Belmont,7,2,32,79435,24.69208335
Brown,8,2,6,26010,8.203530992
Butler,9,2,69,224522,70.55758421
Carroll,10,2,9,21340,6.782454853
Champaign,11,2,8,30190,9.446821159
Clark,12,2,45,155326,48.36227519
Clermont,13,2,29,93532,29.63499839
Clinton,14,2,7,31381,9.893264442
Columbiana,15,2,31,107602,33.63368196
Coshocton,16,2,19,33278,10.36592448
Crawford,17,2,19,49611,15.51232744
Cuyahoga,18,2,586,1730679,535.6153134
Darke,19,2,7,48463,15.1564649
Defiance,20,2,6,36914,11.64912531
Delaware,21,2,9,42455,13.25670608
Erie,22,2,21,75050,23.60932853
Fairfield,23,2,29,72102,22.7838268
Fayette,24,2,3,25214,7.859208599
Franklin,25,2,252,824708,257.1954681
Fulton,26,2,7,32528,10.1982266
Gallia,27,2,10,24746,7.80800856
Geauga,28,2,13,62645,19.85057554
Greene,29,2,30,123987,39.67949021
Guernsey,30,2,15,36741,11.41668613
Hamilton,31,2,358,928899,286.3288288
Hancock,32,2,19,60742,18.94265441
Hardin,33,2,11,30806,9.814726632
Harrison,34,2,6,16866,5.303497492
Henry,35,2,5,26778,8.448447425
Highland,36,2,11,28582,8.96471532
Hocking,37,2,12,20051,6.314863921
Holmes,38,2,0,22526,7.08319923
Huron,39,2,11,49098,15.34330857
Jackson,40,2,13,27270,8.46016615
Jefferson,41,2,42,95580,29.97431117
Knox,42,2,12,41732,13.13213999
Lake,43,2,37,196237,61.98427823
Lawrence,44,2,21,55961,17.53152184
Licking,45,2,29,106588,33.48448726
Logan,46,2,17,34713,10.86985667
Lorain,47,2,82,255382,80.48540631
Lucas,48,2,200,482047,150.0798971
Madison,49,2,8,27991,9.137165647
Mahoning,50,2,107,303589,94.80496693
Marion,51,2,17,63804,20.25974983
Medina,52,2,19,81405,25.73678301
Meigs,53,2,8,19749,6.204742588
Mercer,54,2,10,35511,11.18404902
Miami,55,2,14,83533,26.11828298
Monroe,56,2,5,15748,5.007468355
Montgomery,57,2,178,611768,191.1856332
Morgan,58,2,2,11983,3.745443459
Morrow,59,2,3,20573,6.526575251
Muskingum,60,2,22,77318,23.89348643
Noble,61,2,2,10464,3.331279581
Ottawa,62,2,10,36827,11.5810632
Paulding,63,2,5,19004,5.999713685
Perry,64,2,6,27106,8.526479029
Pickaway,65,2,7,39330,12.51826678
Pike,66,2,8,19169,6.097263856
Portage,67,2,24,124095,39.38713153
Preble,68,2,7,33972,10.6981274
Putnam,69,2,2,30811,9.812157779
Richland,70,2,36,130286,41.32237824
Ross,71,2,17,61326,19.86560761
Sandusky,72,2,20,61042,19.09922618
Scioto,73,2,31,76584,23.73091391
Seneca,74,2,16,60666,18.93576388
Shelby,75,2,7,37854,11.95300131
Stark,76,2,116,370699,115.728656
Summit,77,2,171,555650,173.49193
Trumbull,78,2,73,230886,72.37806636
Tuscarawas,79,2,31,76508,23.91091487
Union,80,2,8,22949,7.122242761
Van Wert,81,2,5,29260,9.095943677
Vinton,82,2,2,9469,3.041200582
Warren,83,2,22,84664,27.25276534
Washington,84,2,12,56608,17.77427923
Wayne,85,2,12,86372,27.26146304
Williams,86,2,5,33551,10.50952762
Wood,87,2,15,88155,27.6851863
Wyandot,88,2,6,21456,6.690743421
Adams,1,3,9,19047,6.525049641
Allen,2,3,39,110858,37.48162578
Ashland,3,3,12,43100,14.53387201
Ashtabula,4,3,25,98297,33.27375855
Athens,5,3,12,55773,19.22029732
Auglaize,6,3,8,38534,13.00491774
Belmont,7,3,43,80883,27.13760114
Brown,8,3,7,26744,9.096140965
Butler,9,3,63,226090,76.53950425
Carroll,10,3,6,21561,7.368271303
Champaign,11,3,9,30537,10.29820712
Clark,12,3,52,157125,52.7264018
Clermont,13,3,27,95378,32.5172964
Clinton,14,3,12,31380,10.64170662
Columbiana,15,3,28,108289,36.47181135
Coshocton,16,3,10,33378,11.20335242
Crawford,17,3,27,50433,17.00909874
Cuyahoga,18,3,666,1715252,572.2643377
Darke,19,3,16,49122,16.56253332
Defiance,20,3,12,36919,12.56419007
Delaware,21,3,10,42871,14.4756324
Erie,22,3,18,75950,25.75492353
Fairfield,23,3,26,73424,24.98996489
Fayette,24,3,12,25448,8.564445485
Franklin,25,3,273,835544,280.9472953
Fulton,26,3,5,33108,11.19399909
Gallia,27,3,13,25371,8.635673135
Geauga,28,3,17,62671,21.41754926
Greene,29,3,27,124787,42.97538273
Guernsey,30,3,19,37926,12.71517424
Hamilton,31,3,378,923609,307.1776927
Hancock,32,3,14,61141,20.56049918
Hardin,33,3,14,30699,10.50157508
Harrison,34,3,7,16929,5.739473086
Henry,35,3,4,27105,9.220451123
Highland,36,3,11,29073,9.829328279
Hocking,37,3,13,20366,6.918846851
Holmes,38,3,6,23134,7.842612778
Huron,39,3,22,49586,16.73509456
Jackson,40,3,13,27073,9.06654869
Jefferson,41,3,38,95980,32.44542071
Knox,42,3,12,41609,14.11880987
Lake,43,3,48,196138,66.72263751
Lawrence,44,3,25,56793,19.16913912
Licking,45,3,29,107655,36.4532603
Logan,46,3,17,35162,11.88813634
Lorain,47,3,84,256212,86.99505778
Lucas,48,3,189,483591,162.3319777
Madison,49,3,9,28346,9.954691145
Mahoning,50,3,120,303874,102.2691488
Marion,51,3,15,64809,22.17706607
Medina,52,3,18,82685,28.21135824
Meigs,53,3,10,19719,6.68978709
Mercer,54,3,13,35367,12.00584921
Miami,55,3,18,84255,28.40088812
Monroe,56,3,2,15681,5.364388227
Montgomery,57,3,189,606214,204.2056135
Morgan,58,3,7,12496,4.215134842
Morrow,59,3,2,21548,7.376876234
Muskingum,60,3,22,77772,25.95772461
Noble,61,3,3,10350,3.540143255
Ottawa,62,3,12,37066,12.5633522
Paulding,63,3,8,19317,6.56300893
Perry,64,3,12,27413,9.304555759
Pickaway,65,3,10,40176,13.78742953
Pike,66,3,2,19014,6.498864627
Portage,67,3,25,125784,43.02317242
Preble,68,3,8,34785,11.81109743
Putnam,69,3,3,31163,10.67963011
Richland,70,3,40,129412,44.20546977
Ross,71,3,15,60936,21.23220937
Sandusky,72,3,18,60751,20.50834945
Scioto,73,3,37,76834,25.67644248
Seneca,74,3,18,60482,20.35661107
Shelby,75,3,6,37551,12.76900539
Stark,76,3,112,371547,124.9796791
Summit,77,3,163,551390,185.5756128
Trumbull,78,3,77,232039,78.4085228
Tuscarawas,79,3,38,77130,25.98091192
Union,80,3,4,23982,8.026110431
Van Wert,81,3,9,29099,9.786460832
Vinton,82,3,4,9385,3.243221615
Warren,83,3,23,85246,29.52214484
Washington,84,3,17,57086,19.31126238
Wayne,85,3,22,87013,29.5736671
Williams,86,3,14,33609,11.36785617
Wood,87,3,24,89993,30.43890288
Wyandot,88,3,7,21829,7.342674301
Adams,1,4,6,19914,6.776453923
Allen,2,4,44,111528,37.49969996
Ashland,3,4,12,43266,14.50032624
Ashtabula,4,4,37,100613,33.87312404
Athens,5,4,12,57317,19.6524135
Auglaize,6,4,16,39222,13.17405817
Belmont,7,4,29,83376,27.80227036
Brown,8,4,5,27731,9.401003574
Butler,9,4,84,229375,77.21035585
Carroll,10,4,4,22083,7.502132043
Champaign,11,4,8,30901,10.36793148
Clark,12,4,53,159872,53.37794069
Clermont,13,4,26,98168,33.30381529
Clinton,14,4,13,31824,10.75140923
Columbiana,15,4,32,109791,36.80742155
Coshocton,16,4,8,33971,11.34487809
Crawford,17,4,13,51731,17.34640304
Cuyahoga,18,4,633,1706811,566.0088867
Darke,19,4,14,50225,16.83973647
Defiance,20,4,11,37178,12.61962265
Delaware,21,4,9,43647,14.67129456
