LTLA,O,E,IMD
E06000001,110,78.76883316,0.228
E06000002,206,103.1909251,0.251
E06000003,134,130.6025979,0.186
E06000004,155,156.7235912,0.164
E06000005,90,97.68444561,0.153
E06000006,128,92.98230181,0.185
E06000007,230,167.7041089,0.109
E06000008,96,102.7899546,0.212
E06000009,145,126.2844305,0.247
E06000010,215,169.7902204,0.227
E06000011,318,370.5386171,0.096
E06000012,35,145.0818261,0.19
E06000013,101,155.8198462,0.133
E06000014,171,177.5762686,0.072
E06000015,318,218.4426541,0.158
E06000016,315,276.2648784,0.196
E06000017,24,43.76294217,0.056
E06000018,236,207.0779209,0.199
E06000019,127,206.2798995,0.098
E06000020,102,127.4981283,0.156
E06000021,201,188.7899035,0.19
E06000022,92,171.8571104,0.079
E06000023,252,310.391526,0.141
E06000024,151,230.1696125,0.101
E06000025,170,242.5327192,0.074
E06000026,91,216.4412726,0.148
E06000027,58,162.3992155,0.174
E06000030,168,166.0952522,0.109
E06000031,104,144.8564326,0.156
E06000032,214,163.9491482,0.155
E06000033,207,170.6374431,0.144
E06000034,149,107.7819152,0.13
E06000035,198,197.5920982,0.134
E06000036,70,82.10763618,0.068
E06000037,132,132.2771928,0.064
E06000038,165,111.1445035,0.114
E06000039,110,102.9091752,0.126
E06000040,130,144.5210933,0.058
E06000041,151,142.6981214,0.044
E06000042,199,173.221857,0.111
E06000043,163,200.1652547,0.123
E06000044,105,144.971141,0.134
E06000045,167,164.1941538,0.135
E06000046,83,173.094786,0.138
E06000047,707,453.0253318,0.165
E06000049,553,391.6252302,0.083
E06000050,412,322.1552364,0.108
E06000051,260,340.8113986,0.096
E06000052,208,596.7359639,0.13
E06000053,0,2.813825833,0.029
E06000054,367,478.2174934,0.078
E06000055,178,155.000745,0.114
E06000056,279,225.0973079,0.077
E06000057,281,329.2283231,0.126
E06000058,189,417.7744196,0.112
E06000059,162,489.2288222,0.088
E07000004,121,154.1660754,0.067
E07000005,86,102.1064224,0.053
E07000006,61,78.37360049,0.057
E07000007,87,162.7399835,0.076
E07000008,82,87.36093896,0.077
E07000009,51,80.27648138,0.07
E07000010,81,103.8247028,0.14
E07000011,131,154.2045119,0.074
E07000012,61,141.7203211,0.056
E07000026,74,103.1363453,0.121
E07000027,79,60.45647938,0.159
E07000028,132,103.866219,0.116
E07000029,62,64.92304963,0.13
E07000030,43,61.58814467,0.07
E07000031,150,131.8020444,0.063
E07000032,102,118.2566833,0.109
E07000033,55,65.64670228,0.147
E07000034,86,96.66543591,0.153
E07000035,79,82.8527114,0.068
E07000036,106,106.4607409,0.12
E07000037,109,80.41294743,0.097
E07000038,144,103.9005973,0.112
E07000039,113,80.7071937,0.083
E07000040,49,204.3080564,0.081
E07000041,39,100.5920527,0.095
E07000042,18,83.67370467,0.093
E07000043,26,108.3684575,0.11
E07000044,12,102.652471,0.087
E07000045,33,156.5287464,0.101
E07000046,20,77.75012975,0.121
E07000047,17,66.37613828,0.098
E07000061,70,131.4206674,0.141
E07000062,10,85.01776472,0.202
E07000063,116,125.8349246,0.099
E07000064,57,141.9246707,0.113
E07000065,120,187.9066241,0.073
E07000066,213,147.4418943,0.138
E07000067,121,135.6220647,0.092
E07000068,89,78.65182164,0.064
E07000069,99,96.30861927,0.107
E07000070,152,157.6437517,0.077
E07000071,112,148.6492183,0.099
E07000072,184,127.2684476,0.091
E07000073,75,65.93844104,0.134
E07000074,35,66.98439042,0.086
E07000075,94,87.82399294,0.073
E07000076,171,189.8038406,0.173
E07000077,62,79.88589357,0.054
E07000078,135,109.7746557,0.091
E07000079,58,102.2986456,0.064
E07000080,48,87.30424893,0.107
E07000081,145,105.4597855,0.126
E07000082,92,112.9999538,0.078
E07000083,104,90.90892998,0.077
E07000084,117,135.8732166,0.071
E07000085,83,129.5273078,0.06
E07000086,99,119.2235707,0.066
E07000087,98,124.5936472,0.056
E07000088,57,76.29104768,0.107
E07000089,49,86.54363544,0.042
E07000090,112,137.3418709,0.126
E07000091,131,250.9187763,0.077
E07000092,85,68.1385785,0.104
E07000093,119,122.6429403,0.066
E07000094,111,125.9350957,0.058
E07000095,75,83.0644678,0.108
E07000096,124,129.8480988,0.085
E07000098,180,98.52990883,0.089
E07000099,98,125.8108036,0.079
E07000102,88,87.68714662,0.071
E07000103,125,70.60031083,0.092
E07000105,171,111.723207,0.11
E07000106,139,155.7422561,0.1
E07000107,125,78.88667789,0.095
E07000108,133,119.7677799,0.134
E07000109,102,92.89717559,0.122
E07000110,115,146.108981,0.095
E07000111,104,118.8231926,0.075
E07000112,145,124.0538379,0.145
E07000113,123,119.5377157,0.149
E07000114,160,146.3762798,0.185
E07000115,76,109.6759123,0.08
E07000116,81,111.2154397,0.073
E07000117,63,72.77418083,0.203
E07000118,115,94.40605808,0.102
E07000119,95,98.54057126,0.096
E07000120,63,64.23888139,0.182
E07000121,71,128.0237774,0.129
E07000122,78,76.33839033,0.168
E07000123,133,103.175815,0.162
E07000124,27,63.11852248,0.057
E07000125,54,54.98253678,0.145
E07000126,93,99.70284205,0.091
E07000127,119,107.8733578,0.123
E07000128,118,135.3024309,0.125
E07000129,82,93.10719232,0.069
E07000130,123,153.925649,0.084
E07000131,62,89.31046657,0.056
E07000132,105,103.2054335,0.082
E07000133,29,49.09870717,0.072
E07000134,67,84.31901658,0.09
E07000135,64,67.65858991,0.086
E07000136,35,63.17217871,0.128
E07000137,55,172.4727211,0.162
E07000138,28,69.57106999,0.155
E07000139,46,116.4186087,0.081
E07000140,58,102.0905228,0.103
E07000141,69,140.204412,0.091
E07000142,23,96.4430548,0.123
E07000143,92,154.3439112,0.1
E07000144,72,150.1614136,0.072
E07000145,49,105.7073606,0.184
E07000146,142,171.8704307,0.12
E07000147,53,154.7190888,0.106
E07000148,25,102.5014203,0.163
E07000149,59,147.7767691,0.078
E07000150,50,42.18091062,0.136
E07000151,77,72.30442715,0.073
E07000152,99,84.90194331,0.084
E07000153,107,81.94742643,0.113
E07000154,276,163.7829256,0.123
E07000155,58,80.96415639,0.049
E07000156,69,70.54827005,0.126
E07000163,67,67.8694129,0.067
E07000164,73,101.3286333,0.067
E07000165,204,175.042968,0.062
E07000166,51,48.14286662,0.059
E07000167,32,63.25151326,0.082
E07000168,85,125.3306204,0.145
E07000169,46,74.98695223,0.079
E07000170,147,101.4459538,0.152
E07000171,72,109.1886209,0.122
E07000172,103,107.3386717,0.097
E07000173,121,109.2821335,0.102
E07000174,78,90.4236976,0.156
E07000175,78,114.5491526,0.109
E07000176,87,116.5494533,0.059
E07000177,116,125.6867817,0.076
E07000178,76,102.059431,0.093
E07000179,117,136.2600521,0.054
E07000180,123,126.2004952,0.057
E07000181,119,110.0249024,0.059
E07000187,28,118.4453895,0.099
E07000188,69,128.3205113,0.117
E07000189,58,186.6251999,0.095
E07000192,80,81.48817706,0.127
E07000193,159,102.2371406,0.103
E07000194,120,104.4713664,0.084
E07000195,144,116.7408336,0.108
E07000196,105,117.709506,0.086
E07000197,120,132.914559,0.078
E07000198,79,101.0996631,0.084
E07000199,72,57.57168712,0.126
E07000200,59,106.1791072,0.08
E07000202,126,113.3017491,0.141
E07000203,77,107.3177857,0.071
E07000207,114,132.0539187,0.057
E07000208,81,74.68583086,0.056
E07000209,95,119.5165528,0.057
E07000210,105,99.92185865,0.054
E07000211,181,135.2394073,0.067
E07000212,73,74.61115949,0.066
E07000213,95,92.46672126,0.079
E07000214,90,84.45956624,0.054
E07000215,93,88.52013959,0.063
E07000216,141,135.5889564,0.054
E07000217,77,89.92711442,0.067
E07000218,86,60.55455214,0.097
E07000219,163,107.2725052,0.136
E07000220,74,99.42965548,0.087
E07000221,168,147.0511621,0.068
E07000222,104,132.151262,0.07
E07000223,40,69.09287862,0.108
E07000224,68,212.7885258,0.104
E07000225,82,154.3131678,0.079
E07000226,78,80.72679437,0.11
E07000227,123,147.827243,0.056
E07000228,169,144.475632,0.053
E07000229,79,121.0106228,0.101
E07000234,137,104.2843148,0.073
E07000235,51,100.0667715,0.092
E07000236,61,64.39884864,0.124
E07000237,63,78.81155968,0.117
E07000238,110,139.8511422,0.085
E07000239,116,104.9660213,0.127
E07000240,134,128.6068649,0.06
E07000241,113,99.06563809,0.086
E07000242,101,123.9244848,0.06
E07000243,60,67.62179305,0.122
E07000244,222,306.2486582,0.112
E07000245,78,174.0607639,0.081
E07000246,47,182.1377227,0.104
E08000001,321,223.8357442,0.186
E08000002,241,154.855784,0.145
E08000003,422,283.9192568,0.219
E08000004,261,173.7836132,0.193
E08000005,231,165.0952483,0.201
E08000006,323,169.3658766,0.191
E08000007,372,274.8667638,0.12
E08000008,301,170.8997276,0.175
E08000009,247,207.7760879,0.107
E08000010,354,248.5207719,0.148
E08000011,144,113.9507531,0.251
E08000012,579,339.8811734,0.235
E08000013,200,152.867255,0.182
E08000014,299,296.2346868,0.162
E08000015,440,312.2733046,0.174
E08000016,251,202.0847515,0.169
E08000017,263,257.6545861,0.166
E08000018,336,225.4432134,0.168
E08000019,579,463.5208375,0.156
E08000021,249,209.3173953,0.178
E08000022,156,179.8962369,0.144
E08000023,164,133.1877723,0.206
E08000024,337,225.345489,0.192
E08000025,1226,903.2194373,0.222
E08000026,286,265.2845571,0.154
E08000027,313,297.9950473,0.156
E08000028,375,269.9289111,0.215
E08000029,277,219.5912319,0.108
E08000030,390,246.0786679,0.2
E08000031,317,253.8925121,0.211
E08000032,503,405.2243071,0.189
E08000033,119,170.2898074,0.149
E08000034,322,360.6019874,0.143
E08000035,713,581.4769758,0.143
E08000036,354,281.2534768,0.147
E08000037,237,175.2513203,0.167
E09000001,4,8.287523432,0.065
E09000002,167,120.5104766,0.194
E09000003,457,360.7483526,0.111
E09000004,239,215.7542,0.106
E09000005,491,338.2077791,0.155
E09000006,345,297.4385751,0.091
E09000007,163,186.7639467,0.141
E09000008,497,339.7573054,0.136
E09000009,411,329.3535534,0.14
E09000010,392,284.5983765,0.171
E09000011,227,178.8556114,0.159
E09000012,227,182.7611161,0.196
E09000013,170,128.5415344,0.142
E09000014,272,200.4631521,0.17
E09000015,400,270.7793175,0.109
E09000016,276,234.2084436,0.108
E09000017,315,243.3680858,0.114
E09000018,236,214.9224442,0.129
E09000019,152,134.358856,0.179
E09000020,127,149.9730392,0.117
E09000021,131,138.5226595,0.078
E09000022,292,219.0296736,0.153
E09000023,294,207.8252745,0.164
E09000024,204,164.6791746,0.1
E09000025,309,223.9558245,0.169
E09000026,312,256.3998617,0.121
E09000027,153,156.8875096,0.064
E09000028,252,200.9915428,0.162
E09000029,179,165.9416095,0.095
E09000030,188,145.2849557,0.192
E09000031,252,208.5098287,0.152
E09000032,216,200.7629214,0.107
E09000033,186,221.2653977,0.135
