,areaCode,areaName,PopVac,Cum_vaccinated,Completed_vaccinated,imd_medianS_msoa,imd_msoa_medianD,imd_rank_msoa,imd_decile_msoa,bme,Broad.RUC11,B_RUC11,Pct_Leave,Pct_Remain,vacPop,Asthma,COPD,Dementia,Depression,Diabetes,blood_pre,Epilepsy,poptotal,imd_decile_msoaLast,first_party,Pct_con,Pct_LAB,Cum_firstDose,First_dosePct,rates,rateCat,imd_decile_msoaLast_2,imd_decile_msoaLast_3,imd_decile_msoaLast_4,imd_decile_msoaLast_5,imd_decile_msoaLast_6,imd_decile_msoaLast_7,imd_decile_msoaLast_8,imd_decile_msoaLast_9,imd_decile_msoaLast_10,rateCat_high,rateCat_lowmedian,rateCat_upmedian,Pct_Age,PctYoung,pctYoungAge,PctOld,DeathRates
1,E02000001,City of London,10918,6590,60.4,14.7125,6.5,2818,5,21.36949153,Predominantly Urban,PU,24.71,75.29,9621,3.9,0.6,0.4,6.4,3.2,8.2,0.3,10911,6,Con,39.90590548,27.20782717,7342,67.2,1.0991024,low,0,0,0,0,1,0,0,0,0,0,0,0,13.00054855,14.78016838,18.54277102,16.61989398,0.10970927
2,E02000002,Marks Gate,6904,3886,56.3,37.881,2,5946,9,35.01107011,Predominantly Urban,PU,62.44,37.56,6081,5.1,1.4,0.5,7.6,8.6,11.4,0.7,6902,2,Lab,43.84360352,44.5135475,4340,62.9,81.98146002,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,10.57468289,13.43529025,21.26295017,15.27709258,0.336526016
3,E02000003,Chadwell Heath East,10326,5785,56,25.0055,4,4702,7,45.38576406,Predominantly Urban,PU,62.44,37.56,9123,5.6,1.2,0.5,7.4,9.1,12.2,0.6,10330,4,Lab,43.84360352,44.5135475,6480,62.8,54.81309316,lowmedian,0,0,1,0,0,0,0,0,0,0,1,0,10.08358527,12.43012167,18.73287296,13.24125836,0.231193313
4,E02000004,Eastbrookend,6011,3910,65,20.967,4.5,4070,6,19.02296991,Predominantly Urban,PU,62.44,37.56,5553,5,1.6,0.8,7.7,8.3,12.6,0.6,6015,5,Lab,43.84360352,44.5135475,4281,71.2,94.16070537,upmedian,0,0,0,1,0,0,0,0,0,0,0,1,11.61600963,13.9023951,19.59301279,17.25193589,0.39121276
5,E02000005,Becontree Heath,9677,5471,56.5,31.83,3,5490,9,33.73043681,Predominantly Urban,PU,62.44,37.56,8268,5.3,1.6,0.3,8.3,8.7,11.3,0.6,9683,2,Lab,26.4994719,61.16766669,6100,63,58.4892012,lowmedian,1,0,0,0,0,0,0,0,0,0,1,0,10.77798861,13.7397194,22.08514756,10.3289792,0.246679317
6,E02000007,Central Park & Frizlands Lane,8908,4851,54.5,36.154,2,5831,9,32.81765442,Predominantly Urban,PU,62.44,37.56,7957,5,1.6,0.4,11.2,8.2,12.3,0.7,8901,2,Lab,43.84360352,44.5135475,5468,61.4,63.53839246,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,11.26439063,14.26416991,22.86037451,12.25336182,0.258038904
7,E02000008,Becontree East,11896,6613,55.6,34.377,2,5693,9,30.3569885,Predominantly Urban,PU,62.44,37.56,10187,5.1,1.9,0.5,8,9.2,12,0.7,11894,2,Lab,26.4994719,61.16766669,7412,62.3,47.57901816,lowmedian,1,0,0,0,0,0,0,0,0,0,1,0,11.05110746,13.86080298,22.14587219,12.20182586,0.203490647
8,E02000009,Becontree West,11630,5885,50.6,36.7895,2,5873,9,38.82072662,Predominantly Urban,PU,62.44,37.56,9243,4.9,1.7,0.3,8.5,8.7,11.5,0.6,11630,2,Lab,26.4994719,61.16766669,6703,57.6,48.6672399,lowmedian,1,0,0,0,0,0,0,0,0,0,1,0,11.11392405,14.24862058,22.69825814,8.990587472,0.219409283
9,E02000010,Dagenham North,8819,4861,55.1,33.632,2,5636,9,30.79512478,Predominantly Urban,PU,62.44,37.56,7282,4.4,1.6,0.3,7.9,7.9,12.1,0.7,8822,2,Lab,26.4994719,61.16766669,5407,61.3,64.1796122,upmedian,1,0,0,0,0,0,0,0,0,0,0,1,10.51307297,13.19692392,21.35402362,11.09585279,0.284432775
10,E02000011,Dagenham Eastbrook,6567,3746,57,27.1705,3.5,4970,8,33.63504122,Predominantly Urban,PU,62.44,37.56,5699,4.3,1.8,0.4,7.9,8.4,12.8,0.6,6572,3,Lab,43.84360352,44.5135475,4186,63.7,86.18851835,upmedian,0,1,0,0,0,0,0,0,0,0,0,1,11.79070431,14.51131778,21.0212318,13.72170556,0.370687197
