SP_ID,year,observed,expected
S02000260,2007,97,98.24601631
S02000261,2007,15,45.26085014
S02000262,2007,49,92.36516784
S02000263,2007,44,72.55323772
S02000264,2007,68,125.4190432
S02000265,2007,24,55.04868417
S02000266,2007,25,62.19395742
S02000267,2007,24,69.33036983
S02000268,2007,77,133.8566888
S02000269,2007,36,83.17422511
S02000270,2007,69,122.6432671
S02000271,2007,42,90.7661316
S02000272,2007,31,90.56481994
S02000273,2007,19,65.7206523
S02000274,2007,38,64.76204751
S02000275,2007,45,62.56606653
S02000276,2007,39,95.31998615
S02000277,2007,79,78.87249388
S02000278,2007,27,54.89953531
S02000279,2007,51,108.9217204
S02000280,2007,58,75.36975447
S02000281,2007,71,89.1283359
S02000282,2007,31,79.45330002
S02000283,2007,49,54.639617
S02000284,2007,53,68.01011158
S02000285,2007,16,53.49816259
S02000286,2007,51,81.08439368
S02000287,2007,59,89.41749168
S02000310,2007,55,98.45233085
S02000311,2007,58,144.5049519
S02000312,2007,19,63.9876724
S02000313,2007,70,106.2674019
S02000314,2007,62,113.6471988
S02000316,2007,26,79.54101459
S02000317,2007,44,117.6163295
S02000318,2007,49,126.2975654
S02000319,2007,30,59.65611525
S02000320,2007,40,67.16937739
S02000321,2007,72,116.4907421
S02000322,2007,64,72.70789817
S02000323,2007,27,80.11605227
S02000324,2007,65,80.86376051
S02000325,2007,36,111.7400312
S02000326,2007,41,119.1952847
S02000327,2007,52,94.084439
S02000328,2007,98,117.1225938
S02000329,2007,54,70.80185046
S02000584,2007,118,72.72480773
S02000585,2007,114,102.4431606
S02000586,2007,58,65.51464377
S02000587,2007,82,82.7123948
S02000588,2007,100,70.64061501
S02000589,2007,97,101.0379847
S02000590,2007,47,55.19376782
S02000591,2007,29,55.56022497
S02000592,2007,74,88.369629
S02000593,2007,67,105.2131351
S02000594,2007,57,70.30330877
S02000595,2007,53,70.86252893
S02000596,2007,65,107.2040183
S02000597,2007,139,102.7741705
S02000598,2007,44,71.62206627
S02000599,2007,55,82.54207059
S02000600,2007,68,79.96048001
S02000601,2007,85,79.67340805
S02000602,2007,81,110.1062724
S02000603,2007,57,74.67383953
S02000604,2007,63,65.17352933
S02000605,2007,21,50.68734285
S02000606,2007,76,70.47567628
S02000607,2007,67,86.80093244
S02000608,2007,105,109.2662209
S02000609,2007,38,60.16113978
S02000610,2007,116,122.2784481
S02000611,2007,99,81.45125179
S02000612,2007,80,114.5691997
S02000613,2007,61,62.34755831
S02000614,2007,53,87.46305492
S02000615,2007,126,79.84495627
S02000616,2007,86,95.26321483
S02000617,2007,105,83.12069641
S02000618,2007,72,92.27315087
S02000619,2007,100,77.86707779
S02000620,2007,94,101.4658735
S02000621,2007,129,121.9675539
S02000622,2007,92,70.0504767
S02000623,2007,43,81.33331328
S02000624,2007,49,81.97705615
S02000625,2007,66,74.01420044
S02000626,2007,87,82.64892839
S02000627,2007,82,118.3828772
S02000628,2007,125,116.5870003
S02000629,2007,66,54.91671862
S02000630,2007,99,65.53476974
S02000631,2007,66,80.14748542
S02000632,2007,106,97.94902916
S02000633,2007,164,93.91668977
S02000634,2007,68,65.20431946
S02000635,2007,153,105.4442965
S02000636,2007,56,88.86536504
S02000637,2007,64,85.94217432
S02000638,2007,116,96.77458391
S02000639,2007,71,69.5160353
S02000640,2007,123,114.3117918
S02000641,2007,117,118.9178
S02000642,2007,79,68.1164656
S02000643,2007,125,73.42899945
S02000644,2007,53,59.25144309
S02000645,2007,41,77.59893644
S02000646,2007,96,86.69569434
S02000647,2007,71,65.7577075
S02000648,2007,139,92.35125569
S02000649,2007,66,50.43705939
S02000650,2007,56,65.47499325
S02000651,2007,41,57.75301783
S02000652,2007,94,66.1999142
S02000653,2007,75,57.54009322
S02000654,2007,140,121.5817347
S02000655,2007,43,63.37926038
S02000656,2007,147,100.0909526
S02000657,2007,116,91.96584678
S02000658,2007,150,164.2536309
S02000659,2007,157,119.2538398
S02000660,2007,153,122.5443065
S02000661,2007,68,88.21439938
S02000662,2007,84,59.67459562
S02000663,2007,169,100.4622832
S02000664,2007,62,91.88938906
S02000665,2007,46,80.48990457
S02000666,2007,194,117.9394241
S02000667,2007,121,119.4582115
S02000668,2007,29,44.47182123
S02000669,2007,99,72.49676796
S02000670,2007,76,66.01688923
S02000671,2007,77,67.70705585
S02000672,2007,48,75.8638293
S02000673,2007,83,57.15060614
S02000674,2007,77,58.78684976
S02000675,2007,91,96.65871822
S02000676,2007,101,71.95882536
S02000677,2007,26,71.40958011
S02000678,2007,111,66.96702581
S02000679,2007,36,78.76830856
S02000680,2007,97,79.73991177
S02000681,2007,37,69.84454387
S02000682,2007,25,58.06650734
S02000683,2007,38,54.95183475
S02000684,2007,62,69.67907952
