Local Authority District code (2019),Local Authority District name (2019),Income deprivation- Average score ,Income deprivation - Rank of average score ,Income - Proportion of LSOAs in most deprived 10% nationally ,Income - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,0.228,5,0.3793,7
E06000002,Middlesbrough,0.251,1,0.5,1
E06000003,Redcar and Cleveland,0.186,28,0.2614,24
E06000004,Stockton-on-Tees,0.164,51,0.2167,33
E06000005,Darlington,0.153,69,0.1846,41
E06000006,Halton,0.185,30,0.2911,15
E06000007,Warrington,0.109,154,0.063,116
E06000008,Blackburn with Darwen,0.212,10,0.3297,10
E06000009,Blackpool,0.247,3,0.3617,8
E06000010,"Kingston upon Hull, City of",0.227,6,0.4217,4
E06000011,East Riding of Yorkshire,0.096,194,0.0476,133
E06000012,North East Lincolnshire,0.19,26,0.283,16
E06000013,North Lincolnshire,0.133,106,0.0792,100
E06000014,York,0.072,259,0,201
E06000015,Derby,0.158,59,0.1788,45
E06000016,Leicester,0.196,18,0.2552,26
E06000017,Rutland,0.056,303,0,201
E06000018,Nottingham,0.199,17,0.3022,12
E06000019,"Herefordshire, County of",0.098,187,0.0172,178
E06000020,Telford and Wrekin,0.156,63,0.1759,46
E06000021,Stoke-on-Trent,0.19,25,0.283,16
E06000022,Bath and North East Somerset,0.079,238,0.0087,196
E06000023,"Bristol, City of",0.141,92,0.1293,67
E06000024,North Somerset,0.101,180,0.0593,121
E06000025,South Gloucestershire,0.074,253,0,201
E06000026,Plymouth,0.148,76,0.1242,69
E06000027,Torbay,0.174,39,0.1124,73
E06000030,Swindon,0.109,153,0.0606,118
E06000031,Peterborough,0.156,64,0.1071,77
E06000032,Luton,0.155,66,0.0744,104
E06000033,Southend-on-Sea,0.144,85,0.1215,71
E06000034,Thurrock,0.13,108,0.051,129
E06000035,Medway,0.134,103,0.0859,93
E06000036,Bracknell Forest,0.068,271,0,201
E06000037,West Berkshire,0.064,281,0,201
E06000038,Reading,0.114,140,0.0309,161
E06000039,Slough,0.126,119,0,201
E06000040,Windsor and Maidenhead,0.058,294,0,201
E06000041,Wokingham,0.044,315,0,201
E06000042,Milton Keynes,0.111,148,0.0526,126
E06000043,Brighton and Hove,0.123,126,0.0909,89
E06000044,Portsmouth,0.134,104,0.096,87
E06000045,Southampton,0.135,100,0.0878,91
E06000046,Isle of Wight,0.138,96,0.0337,157
E06000047,County Durham,0.165,49,0.1265,68
E06000049,Cheshire East,0.083,226,0.0085,197
E06000050,Cheshire West and Chester,0.108,159,0.0802,99
E06000051,Shropshire,0.096,193,0.0155,183
E06000052,Cornwall,0.13,107,0.0491,132
E06000053,Isles of Scilly,0.029,317,0,201
E06000054,Wiltshire,0.078,241,0.0035,200
E06000055,Bedford,0.114,141,0.0388,144
E06000056,Central Bedfordshire,0.077,247,0,201
E06000057,Northumberland,0.126,115,0.1066,78
E06000058,"Bournemouth, Christchurch and Poole",0.112,146,0.0343,154
E06000059,Dorset,0.088,212,0.0137,187
E07000004,Aylesbury Vale,0.067,272,0,201
E07000005,Chiltern,0.053,313,0,201
E07000006,South Bucks,0.057,298,0,201
E07000007,Wycombe,0.076,249,0,201
E07000008,Cambridge,0.077,244,0,201
E07000009,East Cambridgeshire,0.07,267,0,201
E07000010,Fenland,0.14,93,0.0364,149
E07000011,Huntingdonshire,0.074,252,0,201
E07000012,South Cambridgeshire,0.056,304,0,201
E07000026,Allerdale,0.121,131,0.1,82
E07000027,Barrow-in-Furness,0.159,58,0.1837,42
E07000028,Carlisle,0.116,139,0.0588,123
E07000029,Copeland,0.13,109,0.0816,98
E07000030,Eden,0.07,265,0,201
E07000031,South Lakeland,0.063,286,0,201
E07000032,Amber Valley,0.109,155,0.0385,145
E07000033,Bolsover,0.147,78,0.0833,96
E07000034,Chesterfield,0.153,71,0.1014,81
E07000035,Derbyshire Dales,0.068,270,0.0233,170
E07000036,Erewash,0.12,133,0.0685,112
E07000037,High Peak,0.097,189,0.0339,156
E07000038,North East Derbyshire,0.112,145,0.0317,159
E07000039,South Derbyshire,0.083,225,0,201
E07000040,East Devon,0.081,229,0,201
E07000041,Exeter,0.095,195,0,201
E07000042,Mid Devon,0.093,200,0,201
E07000043,North Devon,0.11,151,0.0345,151
E07000044,South Hams,0.087,213,0,201
E07000045,Teignbridge,0.101,178,0,201
E07000046,Torridge,0.121,130,0,201
E07000047,West Devon,0.098,188,0,201
E07000061,Eastbourne,0.141,91,0.0492,131
E07000062,Hastings,0.202,14,0.2642,21
E07000063,Lewes,0.099,186,0,201
E07000064,Rother,0.113,143,0.0517,128
E07000065,Wealden,0.073,255,0,201
E07000066,Basildon,0.138,95,0.0727,106
E07000067,Braintree,0.092,202,0,201
E07000068,Brentwood,0.064,282,0,201
E07000069,Castle Point,0.107,164,0.0526,126
E07000070,Chelmsford,0.077,246,0.0093,195
E07000071,Colchester,0.099,184,0.0095,194
E07000072,Epping Forest,0.091,209,0,201
E07000073,Harlow,0.134,102,0,201
E07000074,Maldon,0.086,218,0,201
E07000075,Rochford,0.073,254,0.0189,176
E07000076,Tendring,0.173,40,0.1461,56
E07000077,Uttlesford,0.054,310,0,201
E07000078,Cheltenham,0.091,206,0.04,143
E07000079,Cotswold,0.064,284,0,201
E07000080,Forest of Dean,0.107,168,0.02,173
E07000081,Gloucester,0.126,116,0.0897,90
E07000082,Stroud,0.078,243,0,201
E07000083,Tewkesbury,0.077,245,0,201
E07000084,Basingstoke and Deane,0.071,262,0,201
E07000085,East Hampshire,0.06,288,0,201
E07000086,Eastleigh,0.066,279,0,201
E07000087,Fareham,0.056,302,0,201
E07000088,Gosport,0.107,165,0,201
E07000089,Hart,0.042,316,0,201
E07000090,Havant,0.126,120,0.0385,145
E07000091,New Forest,0.077,248,0,201
E07000092,Rushmoor,0.104,171,0.0345,151
E07000093,Test Valley,0.066,277,0,201
E07000094,Winchester,0.058,295,0,201
E07000095,Broxbourne,0.108,161,0,201
E07000096,Dacorum,0.085,220,0,201
E07000098,Hertsmere,0.089,211,0.0161,181
E07000099,North Hertfordshire,0.079,237,0,201
E07000102,Three Rivers,0.071,263,0,201
E07000103,Watford,0.092,203,0,201
E07000105,Ashford,0.11,150,0.0385,145
E07000106,Canterbury,0.1,183,0,201
E07000107,Dartford,0.095,198,0.0172,178
E07000108,Dover,0.134,105,0.0746,103
E07000109,Gravesham,0.122,127,0.0313,160
E07000110,Maidstone,0.095,199,0.0211,171
E07000111,Sevenoaks,0.075,251,0,201
E07000112,Folkestone and Hythe,0.145,82,0.0597,119
E07000113,Swale,0.149,74,0.1529,54
E07000114,Thanet,0.185,31,0.2024,38
E07000115,Tonbridge and Malling,0.08,232,0,201
E07000116,Tunbridge Wells,0.073,256,0,201
E07000117,Burnley,0.203,13,0.25,28
E07000118,Chorley,0.102,177,0.0303,162
E07000119,Fylde,0.096,192,0.0196,175
E07000120,Hyndburn,0.182,33,0.2115,35
E07000121,Lancaster,0.129,110,0.1124,73
E07000122,Pendle,0.168,46,0.2105,36
E07000123,Preston,0.162,56,0.2093,37
E07000124,Ribble Valley,0.057,300,0,201
E07000125,Rossendale,0.145,80,0.1163,72
E07000126,South Ribble,0.091,208,0.0429,139
E07000127,West Lancashire,0.123,123,0.1096,75
E07000128,Wyre,0.125,121,0.1449,57
E07000129,Blaby,0.069,268,0,201
E07000130,Charnwood,0.084,222,0.0202,172
E07000131,Harborough,0.056,305,0,201
E07000132,Hinckley and Bosworth,0.082,228,0,201
E07000133,Melton,0.072,260,0,201
E07000134,North West Leicestershire,0.09,210,0.0345,151
E07000135,Oadby and Wigston,0.086,216,0,201
E07000136,Boston,0.128,112,0.0278,165
E07000137,East Lindsey,0.162,53,0.1235,70
E07000138,Lincoln,0.155,67,0.1404,59
E07000139,North Kesteven,0.081,230,0,201
E07000140,South Holland,0.103,174,0,201
E07000141,South Kesteven,0.091,205,0.037,148
E07000142,West Lindsey,0.123,125,0.0962,86
E07000143,Breckland,0.1,182,0,201
E07000144,Broadland,0.072,261,0,201
E07000145,Great Yarmouth,0.184,32,0.2295,31
E07000146,King's Lynn and West Norfolk,0.12,134,0.0562,125
E07000147,North Norfolk,0.106,169,0,201
E07000148,Norwich,0.163,52,0.1566,52
E07000149,South Norfolk,0.078,240,0,201
E07000150,Corby,0.136,98,0.0732,105
E07000151,Daventry,0.073,257,0,201
E07000152,East Northamptonshire,0.084,224,0,201
E07000153,Kettering,0.113,144,0.0702,110
E07000154,Northampton,0.123,124,0.0677,113
E07000155,South Northamptonshire,0.049,314,0,201
E07000156,Wellingborough,0.126,117,0.0851,94
E07000163,Craven,0.067,274,0,201
E07000164,Hambleton,0.067,276,0,201
E07000165,Harrogate,0.062,287,0.0096,193
E07000166,Richmondshire,0.059,291,0,201
E07000167,Ryedale,0.082,227,0,201
E07000168,Scarborough,0.145,81,0.0986,85
E07000169,Selby,0.079,236,0.02,173
E07000170,Ashfield,0.152,73,0.1351,61
E07000171,Bassetlaw,0.122,129,0.0429,139
E07000172,Broxtowe,0.097,191,0.0282,164
E07000173,Gedling,0.102,176,0.013,188
E07000174,Mansfield,0.156,61,0.1343,63
E07000175,Newark and Sherwood,0.109,157,0.0429,139
E07000176,Rushcliffe,0.059,293,0,201
E07000177,Cherwell,0.076,250,0,201
E07000178,Oxford,0.093,201,0,201
E07000179,South Oxfordshire,0.054,308,0,201
E07000180,Vale of White Horse,0.057,296,0,201
E07000181,West Oxfordshire,0.059,292,0,201
E07000187,Mendip,0.099,185,0.0303,162
E07000188,Sedgemoor,0.117,136,0.0571,124
E07000189,South Somerset,0.095,196,0,201
E07000192,Cannock Chase,0.127,114,0.0333,158
E07000193,East Staffordshire,0.103,175,0.0278,165
E07000194,Lichfield,0.084,223,0,201
E07000195,Newcastle-under-Lyme,0.108,160,0.0125,189
E07000196,South Staffordshire,0.086,217,0,201
E07000197,Stafford,0.078,239,0.0125,189
E07000198,Staffordshire Moorlands,0.084,221,0,201
E07000199,Tamworth,0.126,118,0.0784,101
E07000200,Babergh,0.08,233,0,201
E07000202,Ipswich,0.141,89,0.0706,109
E07000203,Mid Suffolk,0.071,264,0,201
E07000207,Elmbridge,0.057,299,0,201
E07000208,Epsom and Ewell,0.056,301,0,201
E07000209,Guildford,0.057,297,0,201
E07000210,Mole Valley,0.054,309,0,201
E07000211,Reigate and Banstead,0.067,275,0,201
E07000212,Runnymede,0.066,278,0,201
E07000213,Spelthorne,0.079,234,0,201
E07000214,Surrey Heath,0.054,311,0,201
E07000215,Tandridge,0.063,285,0,201
E07000216,Waverley,0.054,307,0,201
E07000217,Woking,0.067,273,0,201
E07000218,North Warwickshire,0.097,190,0.0263,168
E07000219,Nuneaton and Bedworth,0.136,99,0.0494,130
