,Country,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
1,Spain,2015,2016-01-19T00:32:32.617Z,STA_ES1938A,SP_28079048_9_47,40.43972222,-3.69027777,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,94.17808219,100,94.17808219,11.02266666
2,Spain,2015,2016-12-20T02:01:01.927Z,STA_ES1827A,SP_07010001_9_47,39.67766,2.68665,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,92.29452055,100,92.29452055,6.99109461
3,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0691A,SP_08019004_9_M,41.40388185,2.204522594,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,92.60273973,100,92.60273973,17.96301775
4,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES1417A,SP_22125001_9_M,42.13611,-0.40389,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,79.17808219,100,79.17808219,11.33217993
5,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1649A,SP_26011001_9_49,42.176,-1.744,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.10958904,100,99.10958904,6.36662059
6,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1997A,SP_10148001_9_46,40.07778,-6.14722,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.30136986,100,96.30136986,7.03471431
7,Spain,2015,2016-01-20T02:25:38.267Z,STA_ES1914A,SP_03066003_9_46,38.45472222,-0.80333333,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,96.68949772,100,96.68949772,9.28913813
8,Spain,2015,2016-01-20T02:25:38.267Z,STA_ES1386A,SP_12040008_9_46,40.01277777,-0.05722222,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.00684932,100,99.00684932,8.10157961
9,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES2054A,SP_33004052_9_49,43.5705,-5.9583,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.13926941,100,98.13926941,9.53483773
10,Spain,2015,2016-01-20T02:25:38.267Z,STA_ES1884A,SP_46220010_9_46,39.63416666,-0.26583333,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.043379,100,97.043379,9.48217856
11,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1766A,SP_38006003_9_46,28.145093,-16.523687,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.51141553,100,97.51141553,9.94848981
12,Spain,2015,2016-01-19T00:32:32.617Z,STA_ES1615A,SP_10037001_9_46,39.47278,-6.36028,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.48630137,100,99.48630137,6.72005278
13,Spain,2015,2017-08-07T07:45:40.333Z,STA_ES0094A,SP_15070006_9_47,43.4056,-7.9889,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,97.19178082,100,97.19178082,8.30102184
14,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1957A,SP_15030027_9_49,43.3825,-8.4089,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,98.04794521,100,98.04794521,16.0627314
15,Spain,2015,2016-01-19T00:32:32.617Z,STA_ES1779A,SP_26019001_9_47,42.44,-2.239,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.92009132,100,99.92009132,10.00896835
16,Spain,2015,2016-01-19T00:32:32.617Z,STA_ES1818A,SP_45168002_9_49,39.86806,-4.02083,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,95.20547945,100,95.20547945,11.96589928
17,Spain,2015,2016-07-29T03:40:06.373Z,STA_ES1492A,SP_01059009_9_49,42.85555555,-2.66805555,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,91.97488584,100,91.97488584,10.92540647
18,Spain,2015,2016-12-16T08:05:15.97Z,STA_ES1974A,SP_33024031_9_49,43.5166,-5.6707,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,99.53196347,100,99.53196347,10.77382727
19,Spain,2015,2016-07-31T01:12:18.037Z,STA_ES2053A,SP_38036002_9_49,28.09012,-17.1181,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,88.18493151,100,88.18493151,9.46122977
20,Spain,2015,2016-11-11T01:51:29.787Z,STA_ES0009R,SP_19061999_9_M,41.27417,-3.1425,ES.BDCA.AQD,ug.m-3,01/01/2015,01/01/2016,Valid,Verified,94.24657534,100,94.24657534,4.81686046
