"","distance_from_home","distance_from_last_transaction","ratio_to_median_purchase_price","repeat_retailer","used_chip","used_pin_number","online_order","fraud"
"5989",9.71427564690701,0.453473077292348,1.27674839690693,1,1,1,1,0
"16641",19.7048997154173,0.651395389788611,5.63267423133237,1,1,0,1,1
"4106",78.7544527477738,0.30318375750673,1.17229123164618,1,1,0,0,0
"6862",6.78062342728168,0.559736555136392,2.13052935495191,1,0,0,0,0
"2837",12.7597745634167,0.44707185951443,0.473455118111385,1,0,0,1,0
"13533",2.44489080181693,2.04462000743432,4.79111367455734,1,0,0,1,1
"3676",2.08322892951408,0.550974339551817,0.147098521397193,1,0,0,1,0
"13338",115.224655741035,6.69417109787414,0.56966703001301,1,0,0,1,1
"10824",13.4320228733674,0.0436309101690795,4.01079301485649,1,0,0,1,1
"14810",11.9598246971293,0.0262414194671825,5.00312774381863,1,1,0,1,1
"10909",203.502734802543,0.687869972963668,1.43165675510607,1,0,0,1,1
"15812",1.71014900670352,0.389199901437016,6.63832306499896,0,1,0,1,1
"1488",7.24094955334499,86.4806068609166,1.71128661279822,1,0,0,0,0
"7285",58.5738134786471,0.0243238124219467,0.575212334952011,1,1,0,1,0
"7614",13.9949443255449,0.250107264067129,1.41334609356765,1,0,0,1,0
"15698",8.72626390417497,333.216659431952,10.1296291518591,1,0,0,1,1
"4441",5.42461014719604,3.79158605602653,1.45094700162714,1,0,0,1,0
"16497",49.2019306035235,0.757964572271369,6.21061794247406,1,0,0,1,1
"2169",1.76746924182258,4.62221084432187,1.68349315398063,0,0,0,1,0
"4467",0.451798337593002,0.140660950446762,0.481912489738354,0,0,0,1,0
"8121",0.506505202706214,7.36439503949388,0.775628161959463,0,0,0,1,0
"9730",154.945812106586,11.624149092093,3.32599052440967,1,0,0,1,1
"142",5.99163521918926,4.78496788522379,2.15634710202409,1,0,0,0,0
"14102",43.8734480148912,1.5630231901823,5.44177340802568,1,0,0,1,1
"16744",333.18579659362,4.40773545219965,1.79963163550792,1,0,0,1,1
"11227",6.38936435277665,0.29621229668806,4.66894736040827,1,0,0,1,1
"2406",5.83524320241415,0.0737988053841572,0.24342953007064,1,1,0,1,0
"8826",24.2949390702993,2.80751026684712,0.560812735028329,1,0,1,1,0
"7753",0.886592327416992,20.2558671172875,0.896509680272387,0,0,0,1,0
"10295",15.6641476282356,2.90565693145536,6.88675028499454,1,1,0,1,1
"2730",1.67142361990477,0.003645905808367,1.74357472156172,0,0,0,1,0
"7851",408.330911647143,3.8521223886854,1.10958485819001,1,0,0,0,0
"190",50.2883242591452,0.0271175094133172,0.794087035405966,1,1,1,1,0
"9765",12.834709944896,1.0085463810933,6.14820261807829,1,1,0,1,1
"13226",9.70892455621397,62.6067705157472,0.195275151288339,1,0,0,1,1
"12126",0.489050485453844,5.61163906158973,10.628270501868,0,1,0,1,1
"13480",166.107596502199,4.25280694636015,2.97792643792309,1,0,0,1,1
"9611",3.84216901877079,6.29098694940794,4.32101201679472,1,0,0,1,1
"12708",2.77849467124873,0.33885809265312,5.30770130868961,1,0,0,1,1
