Counties;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Appling;278;270;245;271;268;287;280;293;270;264;262
Atkinson;152;141;169;153;139;169;153;146;164;128;135
Bacon;152;150;142;157;163;169;171;185;155;163;150
Baker;36;48;43;32;30;27;39;33;30;33;34
Baldwin;551;524;529;549;565;571;579;576;558;549;493
Banks;207;220;215;198;243;213;244;203;209;211;172
Barrow;768;828;837;963;982;1124;1126;1237;1190;1077;1038
Bartow;1380;1363;1454;1504;1457;1461;1487;1529;1416;1395;1345
Ben Hill;318;308;264;249;294;340;329;352;296;296;266
Berrien;239;229;254;209;268;267;263;274;269;208;239
Bibb;2520;2440;2449;2383;2433;2425;2506;2449;2524;2457;2359
Bleckley;157;158;159;118;151;130;129;174;159;136;138
Brantley;135;139;191;167;175;170;196;207;203;231;208
Brooks;218;215;212;214;224;213;255;261;247;223;210
Bryan;386;342;343;380;450;425;394;461;466;469;430
Bulloch;684;724;738;779;786;794;855;939;892;881;788
Burke;456;433;404;395;376;422;381;350;391;353;366
Butts;277;297;301;315;275;295;332;302;336;290;282
Calhoun;90;96;94;80;106;79;111;98;80;85;69
Camden;673;783;790;773;711;640;794;894;919;854;802
Candler;169;163;171;173;194;170;199;187;181;138;142
Carroll;1353;1468;1474;1606;1483;1581;1687;1720;1722;1629;1544
Catoosa;708;727;733;724;808;590;772;825;765;810;718
Charlton;129;127;118;121;109;93;123;141;123;154;139
Chatham;3492;3602;3578;3608;3719;3717;3982;4012;4081;4186;3759
Chattahoochee;270;227;253;226;238;186;211;215;192;244;207
Chattooga;331;351;323;322;298;288;359;351;326;331;287
Cherokee;2461;2642;2737;2877;3042;3203;3420;3297;3247;3073;2844
Clarke;1301;1306;1342;1372;1440;1525;1599;1590;1624;1534;1490
Clay;45;45;39;49;44;49;41;42;36;50;26
Clayton;4350;4550;4509;4582;4642;4793;5052;5270;5107;4605;4427
Clinch;124;135;102;112;113;104;105;119;87;120;98
Cobb;10297;10390;10453;10539;10609;10880;11309;11274;10525;10054;9454
Coffee;675;623;664;598;639;615;716;727;670;648;566
Colquitt;716;711;678;654;739;724;798;827;845;810;763
Columbia;1227;1246;1317;1317;1329;1422;1537;1444;1464;1470;1640
Cook;243;218;252;238;237;255;311;287;261;238;268
Coweta;1510;1529;1504;1586;1623;1667;1703;1722;1827;1708;1651
Crawford;138;124;151;159;154;166;159;155;158;135;151
Crisp;344;353;346;302;330;354;380;390;375;317;327
Dade;170;203;184;177;181;127;170;178;179;173;133
Dawson;231;266;211;241;285;247;250;246;244;245;236
Decatur;439;422;421;399;371;395;445;442;418;436;393
DeKalb;11236;11212;10844;11051;10955;11196;11720;12028;11518;11592;11028
Dodge;234;249;250;254;250;261;271;287;301;258;264
Dooly;191;162;190;187;159;171;159;156;154;149;131
Dougherty;1592;1536;1458;1433;1512;1569;1634;1613;1601;1567;1508
Douglas;1398;1492;1456;1529;1682;1807;1939;2019;2019;1926;1722
Early;161;183;201;179;204;145;174;187;175;161;158
Echols;53;49;65;77;91;77;75;87;79;80;64
Effingham;567;583;606;614;638;714;718;764;719;759;612
Elbert;277;270;243;250;289;246;282;261;318;258;269
Emanuel;344;340;349;379;354;390;406;412;354;394;332
Evans;205;194;177;197;188;229;188;226;205;178;165
Fannin;228;249;237;252;245;256;252;239;229;229;190
Fayette;928;886;905;950;956;938;978;966;811;844;804
Floyd;1354;1355;1373;1424;1405;1366;1516;1473;1382;1298;1334
Forsyth;2083;2131;2100;2262;2388;2319;2486;2513;2405;2409;2302
Franklin;227;274;275;263;272;297;297;305;290;301;288
Fulton;13527;13298;12957;13013;12628;12840;13594;13802;13712;13229;12912
Gilmer;362;360;353;358;395;418;439;420;376;338;347
Glascock;26;39;20;41;34;33;42;36;36;25;32
Glynn;1003;947;965;1025;1014;1011;1119;1170;1155;1085;1058
Gordon;799;800;785;783;822;902;906;857;826;776;720
Grady;388;388;372;386;427;386;445;430;434;408;390
Greene;197;204;237;195;184;182;209;180;208;187;150
Gwinnett;10556;11202;11788;12503;12971;13567;14395;14092;13695;12808;11872
Habersham;537;537;507;572;589;589;599;612;601;560;511
Hall;2882;2879;2885;2914;3070;3042;3052;3226;3114;2810;2605
Hancock;116;134;110;108;112;108;114;108;92;88;86
Haralson;396;396;382;358;377;384;418;414;355;369;366
Harris;290;279;288;297;319;290;353;338;310;327;309
Hart;262;282;280;294;279;276;256;337;296;294;266
Heard;155;160;141;136;153;128;146;131;135;141;117
Henry;1976;2084;2261;2448;2601;2642;2699;2749;2720;2608;2485
Houston;1641;1691;1674;1857;1849;1960;2080;2115;2168;2036;2068
Irwin;122;132;136;133;113;126;141;164;138;120;113
Jackson;662;691;715;736;803;785;841;869;920;840;826
Jasper;158;151;197;180;183;195;210;189;205;207;182
Jeff Davis;218;231;211;211;226;235;241;241;214;244;225
Jefferson;284;275;252;303;242;250;259;275;277;242;225
Jenkins;133;139;131;111;126;129;141;133;134;115;116
Johnson;117;124;111;108;105;112;110;96;83;105;106
Jones;303;317;330;356;333;393;325;381;384;373;351
Lamar;207;208;194;182;207;231;221;227;222;245;190
Lanier;103;80;108;117;128;102;131;159;135;131;133
Laurens;690;674;684;662;683;706;744;773;760;699;667
Lee;342;320;323;329;336;340;363;382;417;404;334
Liberty;1421;1470;1443;1227;1469;1272;1266;1724;1270;1694;1379
