CODENO,AREA,PERIMETER,RECORD_ID,DISTRICT,NAME,CODE,y,POP,E,x
6126,974002000,184951,1,1,Skye-Lochalsh,w6126,9,28324,1.38,16
6016,1461990000,178224,2,2,Banff-Buchan,w6016,39,231337,8.66,16
6121,1753090000,179177,3,3,Caithness,w6121,11,83190,3.04,10
5601,898599000,128777,4,4,Berwickshire,w5601,9,51710,2.53,24
6125,5109870000,580792,5,5,Ross-Cromarty,w6125,15,129271,4.26,10
6554,422639000,118433,6,6,Okney,w6554,8,53199,2.4,24
6019,2267340000,259143,7,7,Moray,w6019,26,245513,8.11,10
6655,157575000,54859,8,8,Shetland,w6655,7,62603,2.3,7
6123,4129180000,543208,9,9,Lochaber,w6123,6,59183,1.98,7
6017,2084800000,260668,10,10,Gordon,w6017,20,165554,6.63,16
6756,2118860000,357924,11,11,WesternIsles,w6756,13,87815,4.4,7
6127,6031740000,458473,12,12,Sutherland,w6127,5,37521,1.79,16
6124,392932000,80920.5,13,13,Nairn,w6124,3,29374,1.08,10
5811,1493140000,309530,14,14,Wigtown,w5811,8,86444,3.31,24
5914,757753000,122569,15,15,NEFife,w5914,17,185472,7.84,7
6018,2667230000,261315,16,16,Kincardine,w6018,9,111665,4.55,16
6120,2412980000,233977,17,17,Badenoch,w6120,2,27075,1.07,10
5602,1380450000,180861,18,18,Ettrick,w5602,7,94145,4.18,7
6122,3031710000,248273,19,19,Inverness,w6122,9,162867,5.53,7
5603,1531150000,194639,20,20,Roxburgh,w5603,7,102697,4.44,10
6451,1922140000,182769,21,21,Angus,w6451,16,263205,10.46,7
6015,163755000,53422.7,22,22,Aberdeen,w6015,31,583327,22.67,16
6332,3773270000,613942,23,23,Argyll-Bute,w6332,11,190816,8.77,10
6346,1376460000,150480,24,24,Clydesdale,w6346,7,163818,5.62,7
5913,212364000,64503.4,25,25,Kirkcaldy,w5913,19,432132,15.47,1
5912,272496000,72390.2,26,26,Dunfermline,w5912,15,378946,12.49,1
5809,1251770000,195166,27,27,Nithsdale,w5809,7,163703,6.04,7
6228,725242000,117627,28,28,EastLothian,w6228,10,231185,8.96,7
6453,5402940000,360615,29,29,Perth-Kinross,w6453,16,346041,14.37,10
6231,458893000,91714.5,30,30,WestLothian,w6231,11,382702,10.2,10
6336,993756000,144575,31,31,Cumnock-Doon,w6336,5,139148,4.75,7
5810,1551670000,206124,32,32,Stewartry,w5810,3,65448,2.88,24
6230,410310000,82683.3,33,33,Midlothian,w6230,7,249667,7.03,10
5707,2150420000,232033,34,34,Stirling,w5707,8,233125,8.53,7
6345,1400930000,231006,35,35,Kyle-Carrick,w6345,11,319316,12.32,7
6343,155338000,50775.4,36,36,Inverclyde,w6343,9,296238,10.1,0
6337,443171000,87704.2,37,37,Cunninghame,w6337,11,391513,12.68,10
6347,115253000,45877.9,38,38,Monklands,w6347,8,319072,9.35,1
6338,534488000,135982,39,39,Dumbarton,w6338,6,231227,7.2,16
6334,33491400,24465.4,40,40,Clydebank,w6334,4,156924,5.27,0
6349,292349000,77987,41,41,Renfrew,w6349,10,617413,18.76,1
5706,305750000,82317.8,42,42,Falkirk,w5706,8,426519,15.78,16
5705,146398000,46536.8,43,43,Clackmannan,w5705,2,141294,4.32,16
6348,234857000,64807.7,44,44,Motherwell,w6348,6,449231,14.63,0
6229,227677000,66419.9,45,45,Edinburgh,w6229,19,1287561,50.72,1
6344,338818000,72030.1,46,46,Kilmarnock,w6344,3,238170,8.2,7
6339,306754000,71875.9,47,47,EastKilbride,w6339,2,246849,5.59,1
6342,104317000,50382.7,48,48,Hamilton,w6342,3,312103,9.34,1
6341,210053000,63758,49,49,Glasgow,w6341,28,2316353,88.66,0
6452,267759000,68169.1,50,50,Dundee,w6452,6,547016,19.62,1
6335,102762000,42276.8,51,51,Cumbernauld,w6335,1,179194,3.44,1
6333,27218600,21687.8,52,52,Bearsden,w6333,1,110707,3.62,0
6340,88946200,39656.5,53,53,Eastwood,w6340,1,146112,5.74,1
6350,170095000,54612.2,54,54,Strathkelvin,w6350,1,246744,7.03,1
5604,876523000,138073,55,55,Tweeddale,w5604,0,38704,4.16,16
5808,1597940000,172514,56,56,Annandale,w5808,0,103412,1.76,10
