Counties;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
Appling;20;24;25;31;24;40;29;35;26;25;35
Atkinson;10;12;11;15;15;9;14;8;12;12;5
Bacon;16;8;9;19;18;19;20;18;11;21;16
Baker;4;8;5;1;2;1;4;7;3;3;2
Baldwin;56;64;44;58;63;56;70;65;53;46;54
Banks;22;17;12;17;19;23;22;17;14;23;24
Barrow;62;66;61;87;63;85;101;93;98;83;84
Bartow;106;108;97;102;117;104;131;115;131;102;130
Ben Hill;38;49;33;38;45;64;74;55;52;38;27
Berrien;20;13;23;24;19;25;29;26;20;18;26
Bibb;304;298;301;292;301;353;353;336;313;326;321
Bleckley;17;14;17;11;21;23;8;25;27;16;11
Brantley;5;12;11;13;20;8;12;13;10;18;16
Brooks;29;24;18;16;26;22;32;24;30;27;29
Bryan;35;37;28;35;22;37;30;34;33;26;34
Bulloch;62;67;71;63;76;70;87;93;81;71;80
Burke;45;44;54;52;45;62;51;36;52;38;46
Butts;25;22;35;34;27;46;40;34;27;23;25
Calhoun;13;11;17;11;7;8;22;10;7;15;8
Camden;47;51;52;44;30;32;45;79;53;83;64
Candler;21;11;11;12;13;12;14;18;13;9;7
Carroll;111;125;110;137;131;117;103;132;123;131;134
Catoosa;65;70;81;61;65;55;64;84;104;135;102
Charlton;11;10;12;11;6;2;13;13;12;8;17
Chatham;340;383;381;372;412;395;438;395;452;407;375
Chattahoochee;19;18;11;16;9;20;9;11;14;25;20
Chattooga;31;28;32;37;28;16;28;28;25;33;55
Cherokee;157;162;191;200;249;219;264;225;254;209;235
Clarke;115;111;99;131;150;136;156;136;142;145;119
Clay;8;5;11;8;3;7;4;8;5;7;4
Clayton;399;476;466;448;540;526;520;578;561;435;473
Clinch;14;9;5;9;14;13;13;17;13;13;14
Cobb;750;781;793;851;796;847;960;952;869;855;781
Coffee;70;54;65;60;49;79;72;72;58;70;54
Colquitt;65;59;56;64;78;72;61;93;91;93;100
Columbia;71;79;93;96;100;87;127;99;98;127;118
Cook;20;23;32;32;26;34;44;31;32;33;20
Coweta;116;97;102;115;130;125;123;110;113;99;142
Crawford;11;14;20;12;12;9;13;17;16;17;13
Crisp;33;38;45;33;37;49;58;54;60;43;56
Dade;13;13;25;22;19;13;7;20;28;24;15
Dawson;14;16;9;23;35;25;17;8;14;18;19
Decatur;40;50;37;45;43;49;37;59;54;47;33
DeKalb;1065;1073;1040;1060;1138;1192;1258;1286;1193;1140;1127
Dodge;26;23;22;29;30;30;34;31;48;30;21
Dooly;20;20;23;20;17;23;26;22;19;15;16
Dougherty;186;215;161;161;198;210;217;231;228;191;208
Douglas;93;111;108;138;127;169;198;192;163;173;173
Early;24;20;21;28;18;22;39;26;21;20;17
Echols;3;1;5;3;9;4;3;5;3;2;6
Effingham;47;47;46;45;48;64;62;58;53;66;59
Elbert;30;20;14;30;29;26;30;24;33;25;25
Emanuel;31;30;35;38;43;34;35;47;33;43;38
Evans;15;16;17;12;19;18;11;16;20;24;15
Fannin;19;17;17;20;23;18;21;21;22;18;9
Fayette;56;64;55;63;59;59;61;71;43;60;62
